Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Viresh Yadav,SP, 3 ,Graduate Professional,56,43735785,1568930
Akhilesh Kumar,INC,0,Graduate,47,22816376,0
Akshay Kumar,IND,0,Graduate,30,742000,0
Jasyeer,IND,0,10th Pass,27,20000,0
Laxmi Dhangar,SP,0,Post Graduate,41,16003573,3042873
Rajesh Kumar Sharma,Bharatiya Subhash Sena, 1 ,8th Pass,42,707500,0
Ravendra Pal Singh,BJP,0,10th Pass,57,80534784,0
Satish Kumar,IND,0,8th Pass,37,9328193,2310812
Sushil Kumar,AAP,0,12th Pass,39,7099879,320000
Tilak Raj,BSP, 1 ,12th Pass,51,22817563,1894000
Yad Karan Singh,Jan Adhikar Party,0,Not Given,51,3077000,0
Anil Parashar,BJP, 1 ,Graduate Professional,50,66823654,15132414
M L Papa,IND,0,Graduate,50,1295000,0
Manoj Sharma,AAP,0,10th Pass,42,2205000,200000
Mohd Bilal,BSP,0,10th Pass,43,22482937,1900000
Naim Khan,IND,0,10th Pass,32,954242,0
Sahab Singh,Bharatiya Subhash Sena,0,10th Pass,49,949052,0
Shams Tabrez Khan,IND,0,Graduate,43,2194115,0
Shaz Ishaq,SP, 11 ,Graduate,40,155536000,1370000
Vivek Bansal,INC, 10 ,Graduate,63,52983702,0
Dileep Kumar,IND,0,Graduate Professional,39,740000,0
Keshav Dev,IND, 3 ,Literate,46,570000,0
Mohd Salman Imtiaz,INC, 9 ,Post Graduate,31,32594,0
Monika Thapar,AAP, 1 ,12th Pass,39,1412561,0
Mukta Raja,BJP,0,12th Pass,55,15974190,4794000
Ramgopal,IND,0,Literate,43,3410368,1145760
Razia Khan,BSP,0,Graduate,52,8430000,0
Renuka Sharma,IND,0,10th Pass,42,563400,0
Vinod Kumar,IND,0,Graduate Professional,39,772837,0
Zafar Alam,SP, 1 ,Graduate Professional,76,464292000,7523000
Birpal Singh,RLD,0,Post Graduate,49,10179943,1000000
Kunwarpal Singh,Lok Dal,0,Post Graduate,67,13260000,0
Priti,INC,0,Post Graduate,27,450000,0
Rajkumar Sahyogi,BJP,0,10th Pass,56,62646999,0
Sushil Kumar,BSP,0,Graduate,37,22366758,0
Ashok Kumar Sen,Jan Adhikar Party,0,Graduate Professional,66,9004945,2000000
Avadhesh Kumar,Nirbal Indian Shoshit Hamara Aam Dal, 2 ,Post Graduate,48,33624122,0
Ekalakh,Peace Party, 2 ,5th Pass,56,75000,0
Lalji Verma,SP, 3 ,Post Graduate,66,90174093,3145000
Nishat Fatima,INC,0,Graduate,49,8493819,0
Omaveer,Bahujan Mukti Party,0,Post Graduate,39,24308247,0
Prateek Pandey,BSP,0,Graduate Professional,29,12657444,0
Raghupati,Moulik Adhikar Party,0,Post Graduate,66,11485000,0
Ram Baran Prajapati,AAP,0,Post Graduate,44,2406600,926000
Rinka Gautam,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,31,3546338,0
Daya Ram,Vikassheel Insaan Party,0,5th Pass,64,10258400,0
Irfan Ahmad,All India Majlis-E-Ittehadul Muslimeen, 7 ,Graduate,44,1998150,212300
Javed Ahmad Siddiqui,Bahujan Mukti Party,0,12th Pass,37,262797,0
Kapil Deo,BJP, 2 ,Post Graduate,39,7769012,0
Khurshed Ahmad,IND,0,Literate,39,2378000,0
Merajuddhin,INC, 2 ,12th Pass,55,23702506,1159827
Mewalal Yadav,Moulik Adhikar Party,0,12th Pass,57,12802200,0
Mohd. Sagheer,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,49,20412365,0
Rakesh Verma,AAP, 1 ,Post Graduate,52,17774495,0
Ram Murti Verma,SP, 3 ,12th Pass,57,59904337,12046498
Ram Saran,Voters Party International,0,10th Pass,62,5234866,609000
Shabana Khatoon,BSP, 4 ,12th Pass,47,52500000,0
Shiv Poojan,IND,0,12th Pass,57,1669491,0
Ghanshyam,Jan Adhikar Party,0,Post Graduate,41,54808,0
Keshradevi Gautam,BSP, 1 ,Graduate,66,15350172,442576
